DateIn,DateOut,Postition,Container,Plot,Distance,Type,DepthCM,WTholder,Wet+holder,Dry+holder,DryWT,,
09-Nov-05,14-Nov-05,4D,3,S,0,OM,9-12,44.86,68.76,50.89,6.03,,
09-Nov-05,14-Nov-05,3A,19,S,0,OM,12-15,46.08,57.4,51.86,5.78,,
09-Nov-05,14-Nov-05,3B,44A,S,0,Min,,41.05,89.25,70.72,29.67,,
09-Nov-05,14-Nov-05,3C,7,S,E,OM,0-3,45.1,60.2,49.42,4.32,1,
09-Nov-05,14-Nov-05,3D,58,S,E,OM,3-6,44.89,71.76,51.17,6.28,,
09-Nov-05,14-Nov-05,2A,46,,,,,46.57,not used ,,-46.57,,
09-Nov-05,14-Nov-05,2B,42,S,E,OM,6-9,45.9,69.04,51.15,5.25,,
09-Nov-05,14-Nov-05,2C,1,S,E,OM,9-12,44.36,63.29,50.92,6.56,,
09-Nov-05,14-Nov-05,2D,21,S,E,OM,12-15,43.39,70.85,50.36,6.97,,
09-Nov-05,14-Nov-05,1A,16,S,E,Min,,45.12,84.75,71.14,26.02,,
09-Nov-05,14-Nov-05,1B,3,S,20,mix,0-3,44.52,76.82,54.68,10.16,2,
09-Nov-05,14-Nov-05,1C,43,S,20,mix,3-6,45.15,72.27,53.41,8.26,,
09-Nov-05,14-Nov-05,1D,,S,20,mix,6-9,43.98,84.54,66.23,22.25,,
14-Nov-05,18-Nov-05,18A,23B,C,0,OM,0-3,45.27,59.95,48.46,3.19,1,
14-Nov-05,18-Nov-05,18B,103,C,0,,3-6,42.49,64.61,47.55,5.06,,
14-Nov-05,18-Nov-05,18C,,,,,,,,,,,
14-Nov-05,18-Nov-05,18D,4,C,0,,6-9,46.47,69.09,54.05,7.58,,
14-Nov-05,18-Nov-05,17A,2,C,0,,9-12,46.56,74.02,54.24,7.68,,
14-Nov-05,18-Nov-05,17B,1,C,0,Min,,46.12,101.32,84.67,38.55,,
14-Nov-05,18-Nov-05,17C,4A,C,E,OM,0-3,44.07,63.14,51.69,7.62,2,
14-Nov-05,18-Nov-05,17D,65,C,E,OM,3-6,46.36,63.83,52.19,5.83,,
14-Nov-05,18-Nov-05,16A,34,C,E,mix,6-9,45.86,85.6,68.61,22.75,,
14-Nov-05,18-Nov-05,16B,64,C,E,min,,43.02,86.05,78.32,35.3,,
14-Nov-05,18-Nov-05,16C,56,C,10,mix,0-3,45.66,79.36,65.52,19.86,4,
14-Nov-05,18-Nov-05,16D,66,C,10,mix,3-6,45.62,76.1,63.38,17.76,,
14-Nov-05,18-Nov-05,15A,30,C,10,mix,6-9,45.28,76.46,64.27,18.99,,
14-Nov-05,18-Nov-05,15B,65,C,10,min,,43.04,91.39,79.5,36.46,,
14-Nov-05,18-Nov-05,15C,54,C,20,mix,0-3,43.62,62.92,48.85,5.23,2,
14-Nov-05,18-Nov-05,15D,15,C,20,mix,3-6,45.16,67.67,50.9,5.74,,W
14-Nov-05,18-Nov-05,14A,72,C,20,mix,6-9,44.44,72.55,50.93,6.49,,W
14-Nov-05,18-Nov-05,14B,24,C,20,mix,9-12,45.34,65.64,50.82,5.48,,W
14-Nov-05,18-Nov-05,14C,2B,C,20,Min,,45.81,85,67.35,21.54,,
14-Nov-05,18-Nov-05,14D,7,C,30,OM,0-3,43.56,66.85,50.6,7.04,2,
14-Nov-05,18-Nov-05,13A,1,C,30,OM,3-6,44.67,79.45,60.11,15.44,,
14-Nov-05,18-Nov-05,13B,62,C,30,OM,6-9,46.47,67.38,52.67,6.2,,
14-Nov-05,18-Nov-05,13C,68,C,30,OM,9-12,44.14,71.42,53.05,8.91,,
14-Nov-05,18-Nov-05,13D,53,C,30,OM,12-15,46.22,63.42,51.86,5.64,,
14-Nov-05,18-Nov-05,12A,35,C,30,OM,15-18,44.05,58.94,49.17,5.12,,
14-Nov-05,18-Nov-05,12B,28,C,30,Min,,44.83,80.03,61.06,16.23,,
14-Nov-05,18-Nov-05,12C,56,G,0,OM,0-3,44.98,61.89,50.16,5.18,1,
14-Nov-05,18-Nov-05,12D,60,G,0,OM,3-6,44.11,67.66,54.92,10.81,,
14-Nov-05,18-Nov-05,11A,58,G,0,MIn,6-9,44.12,107.58,90.87,46.75,,
14-Nov-05,18-Nov-05,11B,62,G,E,OM,0-3,45.79,71.56,53.34,7.55,2,
14-Nov-05,18-Nov-05,11C,40,G,E,OM,3-6,45.01,70.51,52.69,7.68,,
14-Nov-05,18-Nov-05,11D,15,G,E,OM,6-9,44.53,68.55,52.28,7.75,,
14-Nov-05,18-Nov-05,10A,157,G,E,Min,,46.24,91.3,76.93,30.69,,
14-Nov-05,18-Nov-05,10B,62,G,10,OM,0-3,45.75,70.45,53.56,7.81,2,
14-Nov-05,18-Nov-05,10C,57,G,10,OM,3-6,43.36,64.46,50.13,6.77,,
14-Nov-05,18-Nov-05,10D,22,G,10,OM,6-9,45.82,75,54.78,8.96,,
14-Nov-05,18-Nov-05,9A,37,G,10,OM,9-12,45.08,65.48,52.45,7.37,,
14-Nov-05,18-Nov-05,9B,107,G,10,OM,12-15,44.52,60.81,49.56,5.04,,
14-Nov-05,18-Nov-05,9C,26,,,Min,,46.57,109.32,89.15,42.58,,
14-Nov-05,18-Nov-05,9D,63,G,20,OM,0-3,46.3,67.65,52.32,6.02,3,
14-Nov-05,18-Nov-05,8A,6,G,20,OM,3-6,78.5,106.42,87.93,9.43,,
14-Nov-05,18-Nov-05,8B,A3,G,20,mix,6-9,45.95,72.3,60.76,14.81,,
14-Nov-05,18-Nov-05,8C,27,G,20,Min,,44.04,97.18,84.79,40.75,,
14-Nov-05,18-Nov-05,8D,18A,G,30,OM,0-3,45.93,65.41,51.45,5.52,1,
14-Nov-05,18-Nov-05,7A,3B,G,30,OM,3-6,46.06,65.93,50.55,4.49,,w
14-Nov-05,18-Nov-05,7B,LO,G,30,OM,6-9,45.36,70.94,49.88,4.52,,w
14-Nov-05,18-Nov-05,7C,5,G,30,OM,9-12,45.09,64.15,51.02,5.93,,
14-Nov-05,18-Nov-05,7D,102,G,30,Min,,43.83,88.56,70.74,26.91,,
14-Nov-05,18-Nov-05,6A,5B,I,0,OM,0-3,45.59,64.81,50.39,4.8,1,
14-Nov-05,18-Nov-05,6B,30C,I,0,OM,3-6,46.02,72.7,53.46,7.44,,
14-Nov-05,18-Nov-05,6C,9B,I,0,OM,6-9,43.59,90.08,78.95,35.36,,
14-Nov-05,18-Nov-05,6D,6B,I,0,Min,,46.04,94.59,87.7,41.66,,
14-Nov-05,18-Nov-05,5A,2,I,E,OM,0-3,46.05,56.98,46.69,0.64,1,
14-Nov-05,18-Nov-05,5B,9A,I,E,OM,3-6,42.98,70.17,52.47,9.49,,
14-Nov-05,18-Nov-05,5C,B1,I,E,OM,6-9,44.39,76.58,55.73,11.34,,
14-Nov-05,18-Nov-05,5D,23,I,E,Min,,45.1,112.4,96.78,51.68,,
14-Nov-05,18-Nov-05,4A,70,I,10,OM,0-3,44.54,60.04,48.6,4.06,1,
14-Nov-05,18-Nov-05,4B,39,I,10,OM,3-6,42.92,62.97,47.98,5.06,,
14-Nov-05,18-Nov-05,4C,32,I,10,OM,6-9,44.59,76.31,53.05,8.46,,
14-Nov-05,18-Nov-05,4D,3,I,10,OM,9-12,44.86,68.57,51.14,6.28,,
14-Nov-05,18-Nov-05,3A,19,I,10,OM,12-15,46.08,73.9,53.5,7.42,,
